"EventType","Full Waveform"
"EventDate","2026-09-17"
"EventTime","11:57:01"
"TitleNote1","Location"
"TitleString1","BARRAGEM DE REJEITOS"
"TitleNote2","Client"
"TitleString2","US MINERAÇÃO VALE-VERDE"
"TitleNote3","Company"
"TitleString3","ENAEX"
"SerialNumber","EXEMPLO-UM16668"
"ScaledDistance","13244.0 (4188.1 m, 0.1 kg)"
"GpsDistance","4188.1 m"
"TranPPV","<0.127 mm/s"
"VertPPV","<0.127 mm/s"
"LongPPV","<0.127 mm/s"
"TranZCFreq","25.6 Hz"
"VertZCFreq","46.5 Hz"
"LongZCFreq","24.4 Hz"
"PeakVectorSum","0.110 mm/s"
"MicPSPL","102.9 dB(L)"
"MicZCFreq","2.1 Hz"
"Tran","Vert","Long","MicL"
"0.000","0.000","0.000","0.000"
