"EventType","Full Waveform"
"EventDate","2026-09-17"
"EventTime","11:56:55"
"TitleNote1","Location"
"TitleString1","COMUNIDADE DE LAGOA DO MEL"
"TitleNote2","Client"
"TitleString2","US MINERAÇÃO VALE-VERDE"
"TitleNote3","Company"
"TitleString3","ENAEX"
"SerialNumber","EXEMPLO-UM16385"
"ScaledDistance","4536.9 (1434.7 m, 0.1 kg)"
"GpsDistance","1434.7 m"
"TranPPV","0.615 mm/s"
"VertPPV","0.355 mm/s"
"LongPPV","0.504 mm/s"
"TranZCFreq","32.0 Hz"
"VertZCFreq","42.7 Hz"
"LongZCFreq","30.1 Hz"
"PeakVectorSum","0.637 mm/s"
"MicPSPL","106.3 dB(L)"
"MicZCFreq","2.3 Hz"
"Tran","Vert","Long","MicL"
"0.000","0.000","0.000","0.000"
