"EventType","Full Waveform"
"EventDate","2026-09-17"
"EventTime","11:56:35"
"TitleNote1","Location"
"TitleString1","COMUNIDADE DE TORROES"
"TitleNote2","Client"
"TitleString2","US MINERAÇÃO VALE-VERDE"
"TitleNote3","Company"
"TitleString3","ENAEX"
"SerialNumber","EXEMPLO-UM16386"
"ScaledDistance","5405.2 (1709.3 m, 0.1 kg)"
"GpsDistance","1709.3 m"
"TranPPV","0.292 mm/s"
"VertPPV","0.300 mm/s"
"LongPPV","0.394 mm/s"
"TranZCFreq","30.1 Hz"
"VertZCFreq","28.4 Hz"
"LongZCFreq","26.9 Hz"
"PeakVectorSum","0.442 mm/s"
"MicPSPL","102.4 dB(L)"
"MicZCFreq","2.8 Hz"
"Tran","Vert","Long","MicL"
"0.000","0.000","0.000","0.000"
